LIB_ID,LIB_NAME,FIPS_ST,FIPS_CO,COUNTY_POP,LAT,LON
15603,ORA MASON BRANCH LIBRARY,9,9,863016,41.250069,-72.983471
15605,WEST HAVEN PUBLIC LIBRARY BOOKMOBILE SERVICE,9,9,863016,41.250069,-72.983471
15700,WESTON PUBLIC LIBRARY,9,1,942119,41.2025186,-73.3766874
L5800,WESTPORT PUBLIC LIBRARY,9,1,942119,41.1407553,-73.3617052
15900,WETHERSFIELD PUBLIC LIBRARY,9,3,898848,41.7116459,-72.663351
16000,WILLINGTON PUBLIC LIBRARY,9,13,151706,41.8777043,-72.2674223
16100,WILTON LIBRARY ASSOCIATION,9,1,942119,41.192978,-73.43108
16200,BEARDSLEY & MEMORIAL LIBRARY,9,5,186660,41.9260032,-73.075464
16301,"GUILFORD SMITH MEMORIAL LIBRARY, INC",9,15,117627,41.679462,-72.1692612
16312,WILLIMANTIC PUBLIC LIBRARY,9,15,117627,41.712621,-72.216079
16322,WINDHAM FREE LIBRARY,9,15,117627,41.699807,-72.157205
16400,WINDSOR PUBLIC LIBRARY,9,3,898848,41.849175,-72.644602
16403,WILSON BRANCH LIBRARY,9,3,898848,41.813156,-72.657289
16500,WINDSOR LOCKS PUBLIC LIBRARY,9,3,898848,41.92823,-72.627326
16600,WOLCOTT PUBLIC LIBRARY,9,9,863016,41.6096556,-72.9772377
16700,WOODBRIDGE TOWN LIBRARY,9,9,863016,41.3532115,-73.0104557
16800,WOODBURY PUBLIC LIBRARY,9,5,186660,41.5419279,-73.2083457
16901,NORTH WOODSTOCK LIBRARY,9,15,117627,41.9940696,-71.998735
16912,HOWARD W. BRACKEN MEMORIAL LIBRARY,9,15,117627,41.9514418,-71.9765185
16922,MAY MEMORIAL LIBRARY,9,15,117627,41.984387,-71.9776198
16932,WEST WOODSTOCK LIBRARY ASSOCIATION,9,15,117627,41.9559213,-72.0471897
2500,CHESHIRE PUBLIC LIBRARY,9,9,863016,41.4983493,-72.9017274
3200,BOOTH & DIMOCK MEMORIAL LIBRARY,9,13,151706,41.7676385,-72.2988582
3900,EASTFORD PUBLIC LIBRARY,9,15,117627,41.901142,-72.080003
6300,FLETCHER MEMORIAL LIBRARY,9,15,117627,41.7846886,-72.0550844
6500,HARTLAND PUBLIC LIBRARY,9,3,898848,42.0003396,-72.9790706
3112,HUGHES MEMORIAL LIBRARY,9,5,186660,41.870675,-73.362806
13201,WOOD MEMORIAL LIBRARY AND MUSEUM,9,3,898848,41.823479,-72.620948
CT0200-001,JANET CARLSON CALVERT LIBRARY,9,11,273976,41.62603,-72.1584897
MLKML,MARTIN LUTHER KING JR. MEMORIAL LIBRARY,11,1,649111,38.89841,-77.024209
ANA,ANACOSTIA NEIGHBORHOOD LIBRARY,11,1,649111,38.8656366,-76.9789739
BEN,DOROTHY I. HEIGHT/BENNING LIBRARY,11,1,649111,38.8946086,-76.9480234
CAV,CAPITOL VIEW BRANCH LIBRARY,11,1,649111,38.8893581,-76.9298153
CCH,CHEVY CHASE  BRANCH LIBRARY,11,1,649111,38.965044,-77.07566
CPK,CLEVELAND PARK BRANCH LIBRARY,11,1,649111,38.93408,-77.057646
FGR,FRANCIS A. GREGORY  BRANCH LIBRARY,11,1,649111,38.864683,-76.953808
GEO,GEORGETOWN BRANCH LIBRARY,11,1,649111,38.9137057,-77.0657061
LAR,LAMOND-RIGGS BRANCH LIBRARY,11,1,649111,38.955047,-76.999953
MTP,MOUNT PLEASANT BRANCH LIBRARY,11,1,649111,38.930434,-77.03647
NOE,NORTHEAST BRANCH LIBRARY,11,1,649111,38.894519,-76.996167
PAL,PALISADES BRANCH LIBRARY,11,1,649111,38.918133,-77.097037
PET,PETWORTH BRANCH LIBRARY,11,1,649111,38.9418727,-77.0259235
SPK,JUANITA E. THORNTON/SHEPHERD PARK BRANCH LIBR,11,1,649111,38.9797219,-77.0264771
SOE,SOUTHEAST BRANCH LIBRARY,11,1,649111,38.8838507,-76.9961825
SOW,SOUTHWEST BRANCH LIBRARY,11,1,649111,38.8792298,-77.0162287
TPK,TAKOMA PARK BRANCH LIBRARY,11,1,649111,38.9747029,-77.0185074
TEN,TENLEY-FRIENDSHIP BRANCH LIBRARY,11,1,649111,38.9475945,-77.0795135
WAH,WILLIAM O. LOCKRIDGE/BELLEVUE LIBRARY,11,1,649111,38.831693,-77.010158
WTD,WATHA T. DANIEL/SHAW NEIGHBORHOOD LIBRARY,11,1,649111,38.9124005,-77.0219295
WEE,WEST END BRANCH LIBRARY,11,1,649111,38.903997,-77.051414
WOD,WOODRIDGE NEIGHBORHOOD LIBRARY,11,1,649111,38.927743,-76.978769
PKL,PARKLANDS-TURNER NEIGHBORHOOD LIBRARY,11,1,649111,38.8463208,-76.9821779
DNW,DEANWOOD NEIGHBORHOOD LIBRARY,11,1,649111,38.9078694,-76.9316706
NW1,NORTHWEST ONE,11,1,649111,38.9037412,-77.0127275
ROS,ROSEDALE,11,1,649111,38.9499727,-77.0622741
DE0002-002,FRANKFORD PUBLIC LIBRARY,10,5,206445,38.517361,-75.234625
DE0003-002,GEORGETOWN PUBLIC LIBRARY,10,5,206445,38.6872877,-75.3871515
DE0005-002,HARRINGTON PUBLIC LIBRARY,10,1,169562,38.928421,-75.575476
DE0009-002,LAUREL PUBLIC LIBRARY,10,5,206445,38.556064,-75.570801
DE0010-002,LEWES PUBLIC LIBRARY,10,5,206445,38.7677083,-75.1414992
DE0011-002,MILFORD PUBLIC LIBRARY,10,5,206445,38.912449,-75.427281
DE0013-002,MILLSBORO PUBLIC LIBRARY,10,5,206445,38.5930688,-75.2957201
DE0015-002,NEW CASTLE PUBLIC LIBRARY,10,3,549233,39.66111,-75.565671
DE0017-002,REHOBOTH BEACH PUBLIC LIBRARY,10,5,206445,38.71584,-75.082919
DE0018-002,SEAFORD DISTRICT LIBRARY,10,5,206445,38.656285,-75.6175018
DE0019-002,SELBYVILLE PUBLIC LIBRARY,10,5,206445,38.455674,-75.219479
DE0020-002,SMYRNA PUBLIC LIBRARY,10,1,169562,39.2996743,-75.6046545
DE0022-007,WILMINGTON INSTITUTE LIBRARY,10,3,549233,39.74092,-75.549797
