STABR,POPU_ST,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,FIPSST
OK,3850568,117,94,2,289.89,665.72,1413.51,$102603348.00,$2334825.00,$465174.00,$4894639.00,$110297986.00,$53036948.00,$70258729.00,$9165003.00,$2604163.00,$3116489.00,$14885655.00,$22981093.00,$108125477.00,$9016630.00,$11554.00,$35488.00,$2576232.00,$11639904.00,$10520955.00,7270854,999774,505,4095,4600,8925,496322,14177885,1994251,22873242,-1,3060,3881312,40
OR,3883735,127,93,8,390.78,481.38,1737.23,$171228180.00,$1196387.00,$978416.00,$10772662.00,$184175645.00,$79303411.00,$120101204.00,$10610863.00,$3299873.00,$3591561.00,$17502297.00,$41873643.00,$179477144.00,$7033648.00,$1000.00,$23184.00,$1793378.00,$8851210.00,$10766352.00,9957503,3215673,1152,3120,4272,18008,419802,22356999,1996319,60596841,1479472,3118,4022036,41
PA,12702379,451,175,24,1198.32,1756.51,4764.63,$215475111.00,$56286099.00,$1531044.00,$58475205.00,$331767459.00,$156688942.00,$211180439.00,$22433059.00,$6347376.00,$5906196.00,$34686631.00,$76820010.00,$322687080.00,$3395332.00,$3425025.00,$6200.00,$5382544.00,$12209101.00,$19193298.00,26391949,4173402,3849,6841,10690,47729,1448444,46093666,5242024,68285979,-1,8031,9778553,42
PR,3725789,58,76,1,13,58,281,$3448905.00,$120555.00,$98579.00,$142011.00,$2256752.00,$2832601.00,$3323945.00,$56351.00,$20634.00,$7200.00,$45185.00,$1093455.00,$2609501.00,$1231213.00,$94059.00,$170813.00,$30889.00,$1190941.00,$1168558.00,258647,30696,190,1,191,72,169395,525628,54614,89398,19898,954,157912,72
RI,1051511,47,23,2,203.38,234.68,579.62,$31698066.00,$7705547.00,$183790.00,$6190761.00,$45778164.00,$24796554.00,$33261071.00,$2573583.00,$518864.00,$674977.00,$3767424.00,$7813413.00,$44841908.00,$563950.00,$967925.00,$38135.00,$2179568.00,$3749578.00,$6323590.00,4364340,1036315,809,1632,2441,5662,158747,6120355,482176,7195883,-1,1449,1468742,44
SC,4652360,40,153,29,468.95,593.54,1870.9,$114030474.00,$6111092.00,$330500.00,$4649992.00,$125122058.00,$60532377.00,$82179630.00,$9814252.00,$2428968.00,$3865847.00,$16109067.00,$21609244.00,$119897941.00,$7487399.00,$0.00,$500000.00,$103421.00,$8090820.00,$6710385.00,9205537,291232,434,1512,1946,14540,482271,18489563,2557911,26502478,1347804,4093,4921316,45
SD,844877,111,35,6,48.16,186.74,359.78,$22773196.00,$0.00,$435500.00,$831896.00,$24040592.00,$12257006.00,$16015817.00,$1900480.00,$723329.00,$517752.00,$3141561.00,$4218053.00,$23375431.00,$4585757.00,$1482.00,$44294.00,$494371.00,$5125904.00,$4661606.00,2847529,747180,1771,4440,6211,4674,259808,4015874,401783,6983508,471328,992,1347827,46
TN,6293455,186,100,3,266.77,568.97,1774.69,$102303595.00,$342647.00,$217589.00,$7015174.00,$109879005.00,$54334898.00,$71737601.00,$9610108.00,$2132940.00,$1709585.00,$13452633.00,$19676147.00,$104866381.00,$2402651.00,$102453.00,$125000.00,$459062.00,$3089166.00,$3856144.00,11640332,94594,471,12834,13305,12118,622426,20063205,3269396,25598411,-1,5018,5214908,47
TX,26059203,553,315,9,1649,2433.7,6712.64,$447017965.00,$93261.00,$2955815.00,$17653403.00,$467720444.00,$229197588.00,$313451207.00,$36924160.00,$11388253.00,$10377826.00,$58690239.00,$79853302.00,$451994748.00,$24524444.00,$4950000.00,$1466911.00,$4647537.00,$35588892.00,$42352626.00,40096556,1917165,2446,26575,29021,52171,1884090,73617788,12986426,119511698,4658195,19251,17953429,48
UT,2855287,59,65,16,204.45,347.2,1254.87,$94004330.00,$1091722.00,$599437.00,$3706780.00,$99402269.00,$42363478.00,$61050232.00,$8954624.00,$2814906.00,$3265916.00,$15035446.00,$17800801.00,$93886479.00,$3675330.00,$73344.00,$583198.00,$188587.00,$4520459.00,$4746103.00,6710732,424805,204,2952,3156,10855,308019,18500437,1779962,37365375,-1,1991,3096178,49
VA,8260405,81,278,23,872.81,968.34,3711.98,$245822080.00,$14452035.00,$1680865.00,$11591163.00,$273546143.00,$138294167.00,$185429654.00,$17729774.00,$5783051.00,$4799364.00,$28312189.00,$53551501.00,$267293344.00,$22618348.00,$0.00,$0.00,$629013.00,$23247361.00,$26401432.00,18059238,1307040,827,364,1191,22235,897284,38403502,4632627,75802706,2442944,6674,7622270,51
VI,106405,0,5,1,-1,-1,-1,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,$-1.00,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78
VT,624958,181,3,4,66.29,218.66,351.64,$17011994.00,$0.00,$36314.00,$3940454.00,$20988762.00,$12128584.00,$15001227.00,$1787484.00,$232992.00,$389045.00,$2409521.00,$5081138.00,$22491886.00,$2462307.00,$17400.00,$0.00,$2762780.00,$5242487.00,$3881203.00,2980733,57468,241,2952,3193,6201,265672,3816219,339898,4633998,-1,1095,873488,50
WA,6882400,51,289,27,750.97,797.42,3697.02,$367965506.00,$169299.00,$509748.00,$12142260.00,$380786813.00,$182626847.00,$247856180.00,$26013022.00,$14134193.00,$8153501.00,$48300716.00,$64868977.00,$361025873.00,$5119028.00,$0.00,$0.00,$1337996.00,$6457024.00,$28375264.00,14271346,1411527,966,600,1566,41794,758074,41881580,4153405,83998212,5980270,6106,11038464,53
WI,5717110,378,82,6,664.04,1121.14,3040.05,$207850760.00,$4336021.00,$1013952.00,$12301560.00,$225502293.00,$111623800.00,$150450291.00,$16497550.00,$2095529.00,$5937479.00,$24530558.00,$44791759.00,$219772608.00,$10216273.00,$13074.00,$886047.00,$6048645.00,$17164039.00,$26662689.00,18997488,25776443,2646,16807,19453,41116,1070771,34663310,3464759,63034912,2205793,6289,6545969,55
WV,1852994,97,78,7,95.32,359,641.62,$25447667.00,$9792294.00,$392030.00,$3046315.00,$38678306.00,$16957213.00,$22654077.00,$3391431.00,$884996.00,$761695.00,$5038122.00,$7084175.00,$34776374.00,$261863.00,$763875.00,$392030.00,$531068.00,$1948836.00,$3240710.00,5080525,2974057,308,1455,1763,6543,381126,5589090,914128,6395350,363224,1474,1181993,54
WY,576412,23,53,2,59.18,180.07,465.49,$29367327.00,$2100.00,$7639.00,$1428424.00,$30805490.00,$17316455.00,$23520892.00,$1858766.00,$229978.00,$633811.00,$2722555.00,$4888561.00,$31132008.00,$4428757.00,$0.00,$0.00,$0.00,$4428757.00,$2051388.00,2459456,126522,71,1863,1934,4499,137810,3633418,382276,4983367,99678,862,907771,56
